,word1,word2,relation,label,text
16,non-volatile memory,electrically erasable programmable read-only memory,rhyper,-1,"Step 204, DETERMINE FREE-SPACE, may include determining, with a controller 28 in communication with the perception-sensor 14, a free-space 30 defined as off of a roadway 22 traveled by the host-vehicle 12. The controller 28 is configured to control the host-vehicle 12, that may include vehicle-controls such as steering, brakes, and an accelerator. The controller 28 may include a processor (not shown) such as a microprocessor or other control circuitry such as analog and/or digital control circuitry including an application specific integrated circuit (ASIC) for processing data as should be evident to those in the art. The controller 28 may include a memory (not specifically shown), including non-volatile memory, such as electrically erasable programmable read-only memory (EEPROM) for storing one or more routines, thresholds, and captured data. The one or more routines may be executed by the processor to perform steps for determining if a detected instance of the object 16 and gradient 18 exists based on signals received by the controller 28 from the perception-sensor 14, as described herein."
17,color space,HSV color space,hyper,1,"5. The skin undertone determining method as claimed in claim 1, wherein  the first color space is a HSV color space, the first parameter value is a hue value in the HSV color space, and the second parameter value is a luminance value in the HSV color space, wherein the second color space is a RGB color space, and the third parameter value is a blue value in the RGB color space.."
18,color space,RGB color space,hyper,1,"5. The skin undertone determining method as claimed in claim 1, wherein  the first color space is a HSV color space, the first parameter value is a hue value in the HSV color space, and the second parameter value is a luminance value in the HSV color space, wherein the second color space is a RGB color space, and the third parameter value is a blue value in the RGB color space.."
19,communication network,cellular network,rhyper,-1,"The communication module 190 may support establishing a direct (e.g., wired) communication channel or a wireless communication channel between the electronic device 101 and the external electronic device (e.g., the electronic device 102, the electronic device 104, or the server 108) and performing communication via the established communication channel. The communication module 190 may include one or more communication processors that are operable independently from the processor 120 (e.g., the application processor (AP)) and supports a direct (e.g., wired) communication or a wireless communication. According to an embodiment, the communication module 190 may include a wireless communication module 192 (e.g., a cellular communication module, a short-range wireless communication module, or a global navigation satellite system (GNSS) communication module) or a wired communication module 194 (e.g., a local area network (LAN) communication module or a power line communication (PLC) module). A corresponding one of these communication modules may communicate with the external electronic device via the first network 198 (e.g., a short-range communication network, such as Bluetooth™, wireless-fidelity (Wi-Fi) direct, or infrared data association (IrDA)) or the second network 199 (e.g., a long-range communication network, such as a cellular network, the Internet, or a computer network (e.g., LAN or wide area network (WAN)). These various types of communication modules may be implemented as a single component (e.g., a single chip), or may be implemented as multi components (e.g., multi chips) separate from each other. The wireless communication module 192 may identify and authenticate the electronic device 101 in a communication network, such as the first network 198 or the second network 199, using subscriber information (e.g., international mobile subscriber identity (IMSI)) stored in the subscriber identification module 196."
20,communication network,computer network,rhyper,-1,"The communication module 190 may support establishing a direct (e.g., wired) communication channel or a wireless communication channel between the electronic device 101 and the external electronic device (e.g., the electronic device 102, the electronic device 104, or the server 108) and performing communication via the established communication channel. The communication module 190 may include one or more communication processors that are operable independently from the processor 120 (e.g., the application processor (AP)) and supports a direct (e.g., wired) communication or a wireless communication. According to an embodiment, the communication module 190 may include a wireless communication module 192 (e.g., a cellular communication module, a short-range wireless communication module, or a global navigation satellite system (GNSS) communication module) or a wired communication module 194 (e.g., a local area network (LAN) communication module or a power line communication (PLC) module). A corresponding one of these communication modules may communicate with the external electronic device via the first network 198 (e.g., a short-range communication network, such as Bluetooth™, wireless-fidelity (Wi-Fi) direct, or infrared data association (IrDA)) or the second network 199 (e.g., a long-range communication network, such as a cellular network, the Internet, or a computer network (e.g., LAN or wide area network (WAN)). These various types of communication modules may be implemented as a single component (e.g., a single chip), or may be implemented as multi components (e.g., multi chips) separate from each other. The wireless communication module 192 may identify and authenticate the electronic device 101 in a communication network, such as the first network 198 or the second network 199, using subscriber information (e.g., international mobile subscriber identity (IMSI)) stored in the subscriber identification module 196."
21,communication network,the Internet,rhyper,-1,"The communication module 190 may support establishing a direct (e.g., wired) communication channel or a wireless communication channel between the electronic device 101 and the external electronic device (e.g., the electronic device 102, the electronic device 104, or the server 108) and performing communication via the established communication channel. The communication module 190 may include one or more communication processors that are operable independently from the processor 120 (e.g., the application processor (AP)) and supports a direct (e.g., wired) communication or a wireless communication. According to an embodiment, the communication module 190 may include a wireless communication module 192 (e.g., a cellular communication module, a short-range wireless communication module, or a global navigation satellite system (GNSS) communication module) or a wired communication module 194 (e.g., a local area network (LAN) communication module or a power line communication (PLC) module). A corresponding one of these communication modules may communicate with the external electronic device via the first network 198 (e.g., a short-range communication network, such as Bluetooth™, wireless-fidelity (Wi-Fi) direct, or infrared data association (IrDA)) or the second network 199 (e.g., a long-range communication network, such as a cellular network, the Internet, or a computer network (e.g., LAN or wide area network (WAN)). These various types of communication modules may be implemented as a single component (e.g., a single chip), or may be implemented as multi components (e.g., multi chips) separate from each other. The wireless communication module 192 may identify and authenticate the electronic device 101 in a communication network, such as the first network 198 or the second network 199, using subscriber information (e.g., international mobile subscriber identity (IMSI)) stored in the subscriber identification module 196."
22,storage medium,non-volatile memory,rhyper,-1,"The external media 224 is a storage medium that stores image data and audio data, and it is removably connected to the image capture device 20. The I/O control portion 226 controls reading of the image data and the audio data that are stored in the external media 224, as well as writing of the image data and the audio data to the external media 224. Note that the external media 224 may be a storage medium such as a non-volatile memory, a magnetic disk, an optical disk, a magneto-optical (MO) disk, or the like. The non-volatile memory may be, for example, a flash memory, an SD card, a micro-SD card, a USB memory, an electrically erasable programmable read-only memory (EEPROM), or an erasable programmable ROM (EPROM). Further, the magnetic disk may be a hard disk, a disk-shaped magnetic disk, or the like. Furthermore, the optical disk may be a compact disc (CD), a digital versatile disc (DVD), a Blu-Ray disc (BD) (registered trademark), or the like."
23,storage medium,optical disk,rhyper,-1,"The external media 224 is a storage medium that stores image data and audio data, and it is removably connected to the image capture device 20. The I/O control portion 226 controls reading of the image data and the audio data that are stored in the external media 224, as well as writing of the image data and the audio data to the external media 224. Note that the external media 224 may be a storage medium such as a non-volatile memory, a magnetic disk, an optical disk, a magneto-optical (MO) disk, or the like. The non-volatile memory may be, for example, a flash memory, an SD card, a micro-SD card, a USB memory, an electrically erasable programmable read-only memory (EEPROM), or an erasable programmable ROM (EPROM). Further, the magnetic disk may be a hard disk, a disk-shaped magnetic disk, or the like. Furthermore, the optical disk may be a compact disc (CD), a digital versatile disc (DVD), a Blu-Ray disc (BD) (registered trademark), or the like."
24,storage medium,magnetic disk,rhyper,-1,"The external media 224 is a storage medium that stores image data and audio data, and it is removably connected to the image capture device 20. The I/O control portion 226 controls reading of the image data and the audio data that are stored in the external media 224, as well as writing of the image data and the audio data to the external media 224. Note that the external media 224 may be a storage medium such as a non-volatile memory, a magnetic disk, an optical disk, a magneto-optical (MO) disk, or the like. The non-volatile memory may be, for example, a flash memory, an SD card, a micro-SD card, a USB memory, an electrically erasable programmable read-only memory (EEPROM), or an erasable programmable ROM (EPROM). Further, the magnetic disk may be a hard disk, a disk-shaped magnetic disk, or the like. Furthermore, the optical disk may be a compact disc (CD), a digital versatile disc (DVD), a Blu-Ray disc (BD) (registered trademark), or the like."
25,display device,liquid crystal display,rhyper,-1,"Meanwhile, as a method for increasing the compression ratio of a moving image, it is also conceivable to reduce a noise signal in the moving image. However, the reduction of the noise signal in the moving image would be effective in the case of video conference using a projector or the like in a dark room, while the noise signal of the moving image is originally small in the case of video conference in a bright room, and thus, no large effect can be obtained. In recent years, a video conference often uses a backlight type display device such as a liquid crystal display to be performed in a bright room, making it difficult to improve the compression ratio of moving images even with the reduction of noise signals. According to the present embodiment, it is possible to further increase the compression ratio of a moving image as compared with such a technique of reducing noise signals."
26,electronic devices,mobile phones,rhyper,-1,"A fingerprint is unique, convenient and invariant over the life of an individual, and therefore has almost become a synonym for biometric recognition. Fingerprint recognition apparatuses are widely applied to various electronic devices such as mobile phones, tablet computers and the like. Currently, manufacturers have intended to mount a fingerprint recognition apparatus below a touch display screen, to implement under-display fingerprint recognition."
27,electronic devices,tablet computers,rhyper,-1,"A fingerprint is unique, convenient and invariant over the life of an individual, and therefore has almost become a synonym for biometric recognition. Fingerprint recognition apparatuses are widely applied to various electronic devices such as mobile phones, tablet computers and the like. Currently, manufacturers have intended to mount a fingerprint recognition apparatus below a touch display screen, to implement under-display fingerprint recognition."
28,input device,touch panel,rhyper,-1,"The input/output unit 140 is realized by an input device, such as a touch panel, mouse, keyboard, microphone, or camera (imaging device), and an output device, such as a display or speaker, included in the terminal device, for example. Note that the input/output unit 140 may also include only one of either an input device or an output device. For example, information received from the server 300 through the communication unit 120 is processed by the processing unit 130 and displayed on a display included in the input/output unit 140. As another example, user operating input acquired by a touch panel or the like included in the input/output unit 140 is processed by the processing unit 130 and transmitted to the server 300 through the communication unit 120."
29,control unit,control unit,hyper,1,"The switching circuit 27 includes a first analog switch (first switching element) 35 that connects and disconnects the voltage applying circuit 23 to and from the pre-head 10 and a second analog switch (second switching element) 36 that connects and disconnects the coupling capacitor 26 to and from the signal processing circuit 24. The switching circuit 27 also includes a switching element control unit configured to control on and off of the first analog switch 35 and the second analog switch 36. In the present embodiment, the switching control unit is the control unit 25. The control unit 25 switches on the first analog switch 35 and the second analog switch 35 based on signals from the detector 9."
30,personal information,telephone number,rhyper,-1,"FIG. 1 is a block diagram illustrating a schematic configuration of an image-linked data management system according to an embodiment of the present invention.FIG. 2 is an exemplary diagram illustrating a state in which a part of an area is enlarged through the image-linked data management system according to the embodiment of the present invention.FIG. 3 is an exemplary diagram illustrating a state in which personal information is output through the image-linked data management system according to the embodiment of the present invention.FIG. 4 is a diagram illustrating a state of dividing an original image through the image-linked data management system according to the embodiment of the present invention.FIG. 5 is a diagram illustrating a state in which an original image and personal information are simultaneously output through the image-linked data management system according to the embodiment of the present invention.FIG. 6 is a block diagram illustrating a configuration of an image data management server included in the image-linked data management system according to the embodiment of the present invention.FIG. 7 is a diagram illustrating a state in which bidding is performed for each image portion through the image-linked data management system according to the embodiment of the present invention.FIG. 8 is a diagram illustrating a state in which a community tool is formed on the basis of personal information such as a telephone number included in a specific original image through the image-linked data management system according to the embodiment of the present invention.FIG. 9 is a diagram illustrating a state of browsing an advertisement, and registering and transferring the personal information through the image-linked data management system according to the embodiment of the present invention."
31,operating system,mobile operating system,hyper,1,"The searching program obtains context information of the application program running in the foreground. In case that the operating system is a mobile operating system, by way of example, the operating system is provided with an active stack in which an activity located at a stack top is corresponding to a user interface of the application program running in the foreground; the searching program obtains an identifier of the application program running in the foreground and an identifier of the user interface from the activity located at the stack top. The identifier of the application program may be a package name to which the APP corresponds, while the identifier of the user interface may be a class name to which the user interface corresponds."
32,computer readable,magnetic disk,rhyper,-1,"The memory 152 stores therein information within the server 150. For example, the memory 152 may be a volatile memory unit or a non-volatile memory unit. The memory 152 may be another computer readable storage medium, such as a magnetic disk, an optical disk, or the like, for example."
33,computer readable,optical disk,rhyper,-1,"The memory 152 stores therein information within the server 150. For example, the memory 152 may be a volatile memory unit or a non-volatile memory unit. The memory 152 may be another computer readable storage medium, such as a magnetic disk, an optical disk, or the like, for example."
34,wireless communication,cellular communication,rhyper,-1,"On the basis of data of moving images captured by a high-precision image capturing device of the roadside apparatus, the controller 1011 or an information processor, not illustrated, connected to the roadside apparatus via the external I/F 1017 detects and identifies one or more objects present in and/or around an intersection, and the roadside apparatus distributes driving assistance information including information about the objects (for example, information about whether the objects are vehicles, pedestrians, or obstacles) to the onboard apparatus.The onboard apparatus mounted in a vehicle that is approaching an intersection transmits position information about the vehicle obtained by a satellite positioning system, such as a global navigation satellite system (GNSS), to the roadside apparatus via low-speed wireless communication, such as cellular communication, before the vehicle enters the intersection. In a case of receiving preliminary information from the onboard apparatus, the roadside apparatus expects the vehicle to enter the intersection and starts capturing images in and around the intersection at the timing when the vehicle enters the intersection.The onboard apparatus mounted on a vehicle that is approaching an intersection transmits in advance position information about the vehicle obtained by using retained map information, such as a dynamic map, to the roadside apparatus via low-speed wireless communication, such as cellular communication, before the vehicle enters the intersection. In a case of receiving preliminary information from the onboard apparatus, the roadside apparatus expects the vehicle to enter the intersection and starts capturing images in and around the intersection at the timing when the vehicle enters the intersection.In a case where the low-speed communicator of the roadside apparatus receives a radio wave of, for example, Bluetooth Low Energy (BLE) transmitted from a mobile device or the like carried by a person present in or around an intersection, the image capturers of the roadside apparatus start capturing images of the intersection and its surroundings, and the controller 1011 or an information processor, not illustrated, connected to the roadside apparatus via the external I/F 1017 detects and identifies the person present in or around the intersection. The millimeter-wave communicator of the roadside apparatus communicates driving assistance information including the result of detection and identification to the onboard apparatus in or around the intersection.In a case where the roadside apparatus determines that a warning needs to be issued in and around the intersection on the basis of at least one of the result of detection and identification of data from the image capturers, the preliminary information from the vehicle received by the low-speed communicator, and the radio wave from the mobile device carried by the person (for example, in a case where an object that is traveling in a direction at a speed significantly different from those in the usual traffic condition is identified), the roadside apparatus distributes driving assistance information in which the priority levels of the blind-spot areas are changed to the onboard apparatus in or around the intersection.In a case where a vehicle in which a rear detector not illustrated in the onboard apparatus 102 in Fig. 1 is mounted is located in or around an intersection and is detecting objects in the rear detection area, the UI 1026 preferentially displays rear-detection information. In a case where the objects move out of the rear detection area, the UI 1026 preferentially displays driving assistance information received from the roadside apparatus."
35,satellite positioning system,global navigation satellite system,rhyper,-1,"On the basis of data of moving images captured by a high-precision image capturing device of the roadside apparatus, the controller 1011 or an information processor, not illustrated, connected to the roadside apparatus via the external I/F 1017 detects and identifies one or more objects present in and/or around an intersection, and the roadside apparatus distributes driving assistance information including information about the objects (for example, information about whether the objects are vehicles, pedestrians, or obstacles) to the onboard apparatus.The onboard apparatus mounted in a vehicle that is approaching an intersection transmits position information about the vehicle obtained by a satellite positioning system, such as a global navigation satellite system (GNSS), to the roadside apparatus via low-speed wireless communication, such as cellular communication, before the vehicle enters the intersection. In a case of receiving preliminary information from the onboard apparatus, the roadside apparatus expects the vehicle to enter the intersection and starts capturing images in and around the intersection at the timing when the vehicle enters the intersection.The onboard apparatus mounted on a vehicle that is approaching an intersection transmits in advance position information about the vehicle obtained by using retained map information, such as a dynamic map, to the roadside apparatus via low-speed wireless communication, such as cellular communication, before the vehicle enters the intersection. In a case of receiving preliminary information from the onboard apparatus, the roadside apparatus expects the vehicle to enter the intersection and starts capturing images in and around the intersection at the timing when the vehicle enters the intersection.In a case where the low-speed communicator of the roadside apparatus receives a radio wave of, for example, Bluetooth Low Energy (BLE) transmitted from a mobile device or the like carried by a person present in or around an intersection, the image capturers of the roadside apparatus start capturing images of the intersection and its surroundings, and the controller 1011 or an information processor, not illustrated, connected to the roadside apparatus via the external I/F 1017 detects and identifies the person present in or around the intersection. The millimeter-wave communicator of the roadside apparatus communicates driving assistance information including the result of detection and identification to the onboard apparatus in or around the intersection.In a case where the roadside apparatus determines that a warning needs to be issued in and around the intersection on the basis of at least one of the result of detection and identification of data from the image capturers, the preliminary information from the vehicle received by the low-speed communicator, and the radio wave from the mobile device carried by the person (for example, in a case where an object that is traveling in a direction at a speed significantly different from those in the usual traffic condition is identified), the roadside apparatus distributes driving assistance information in which the priority levels of the blind-spot areas are changed to the onboard apparatus in or around the intersection.In a case where a vehicle in which a rear detector not illustrated in the onboard apparatus 102 in Fig. 1 is mounted is located in or around an intersection and is detecting objects in the rear detection area, the UI 1026 preferentially displays rear-detection information. In a case where the objects move out of the rear detection area, the UI 1026 preferentially displays driving assistance information received from the roadside apparatus."
36,state space model,Kalman filter,rhyper,-1,"In predicting influx number Rt+j after predetermined time (j), a number of customers in a particular section in store 200, attributes of customers (a gender, an age, and group information (a family, a couple, and the like)), a day of the week, a holiday, a season, and information about events around store 200 may be used as variable C used for prediction. A prediction system is not limited to the multiple regression prediction, and a time series prediction model such as an ARIMA model and an ARCH model may be used. Additionally, prediction may be performed using a state space model such as a Kalman filter or a Particle filter. Deep learning may also be used."
37,state space model,Particle filter,rhyper,-1,"In predicting influx number Rt+j after predetermined time (j), a number of customers in a particular section in store 200, attributes of customers (a gender, an age, and group information (a family, a couple, and the like)), a day of the week, a holiday, a season, and information about events around store 200 may be used as variable C used for prediction. A prediction system is not limited to the multiple regression prediction, and a time series prediction model such as an ARIMA model and an ARCH model may be used. Additionally, prediction may be performed using a state space model such as a Kalman filter or a Particle filter. Deep learning may also be used."
38,computer system,central processing unit,rhyper,-1,"The moving body system 1 includes a control unit 15. The control unit 15 is a computer system including a central processing unit (CPU), a storage device (a random access memory (RAM), a read only memory (ROM), a solid state drive (SSD), a hard disk drive (HDD), or the like) and various interfaces (for example, an A/D converter, a D/A converter, and the like)."
39,communications device,mobile telephone,rhyper,-1,"Embodiments of electronic devices, user interfaces for such devices, and associated processes for using such devices are described. In some embodiments, the device is a portable communications device, such as a mobile telephone, that also contains other functions, such as PDA and/or music player functions. Exemplary embodiments of portable multifunction devices include, without limitation, the iPhone®, iPod Touch®, and iPad® devices from Apple Inc. of Cupertino, California. Other portable electronic devices, such as laptops or tablet computers with touch-sensitive surfaces (e.g., touch screen displays and/or touchpads), are, optionally, used. It should also be understood that, in some embodiments, the device is not a portable communications device, but is a desktop computer with a touch-sensitive surface (e.g., a touch screen display and/or a touchpad)."
40,wide area network,enterprise network,rhyper,-1,"Such computers may be interconnected by one or more networks in any suitable form, including as a local area network or a wide area network, such as an enterprise network or the Internet. Such networks may be based on any suitable technology and may operate according to any suitable protocol and may include wireless networks, wired networks or fiber optic networks."
41,wide area network,the Internet,rhyper,-1,"Such computers may be interconnected by one or more networks in any suitable form, including as a local area network or a wide area network, such as an enterprise network or the Internet. Such networks may be based on any suitable technology and may operate according to any suitable protocol and may include wireless networks, wired networks or fiber optic networks."
42,vertical axis,scan line,hyper,1,"Fig. 12 illustrates an exemplary timing chart on the exposure/reading processing per region in the pixel region 800. As described above, the exposure/reading processing in the center region 801 and the peripheral regions 802 and 803 is performed in parallel. The horizontal axis is a time axis and the vertical axis is a scan line (row number) in the Figure. Here, the imaging device assumes an imaging device configured to perform the reading operation per row such as CMOS image sensor."
