,word1,word2,relation,label,text
10,virtual environment,virtual environment,hyper,1,"The three-dimensional virtual environment is a virtual environment obtained by a processing unit through modeling. The three-dimensional virtual environment may be a room, a building, a game scene, or the like. Optionally, the three-dimensional virtual environment includes a virtual coordinate system formed by an x axis, a y axis, and a z axis. Any two axes of the x axis, y axis, and z axis are perpendicular to each other."
11,two-dimensional code,a square,rhyper,-1,"To describe the structure of the two-dimensional code in more detail, the following embodiments are all described by using the embodiments in FIG. 2 to FIG. 4 and using a two-dimensional code including a square module array consisting of 19∗19 modules as an example."
12,the image,two-dimensional code,rhyper,-1,"In an implementation, after obtaining the image including the two-dimensional code, the terminal performs binarization on the image. Binarization is an image processing manner, in which a pixel whose gray scale is greater than a threshold is changed into a black pixel, and a pixel whose gray scale is less than the threshold is changed into a white pixel. In an image on which binarization has been performed, the first-type modules in the square module array are unitized as black modules, and the second-type modules are unitized as white modules."
13,geographical location data,longitude and latitude,rhyper,-1,"For example, geographical location data, such as longitude and latitude coordinates, corresponding to each three-dimensional laser point in a three-dimensional laser point cloud set is obtained according to a correspondence between three-dimensional laser point cloud data and GPS data that is collected by a navigation system. Longitude and latitude coordinates of shoulder location points on a straight line are obtained. The shoulder line is drawn on a map according to the longitude and latitude coordinates. The shoulder line drawn on the map may be used for automated vehicle operation."
14,geographical location data,longitude and latitude,rhyper,-1,"For example, geographical location data, such as longitude and latitude coordinates, corresponding to each three-dimensional laser point in a three-dimensional laser point cloud set may be obtained according to a correspondence between three-dimensional laser point cloud data and GPS data that is collected by a navigation system. Longitude and latitude coordinates of shoulder location points on a shoulder line are obtained. The shoulder line is drawn on a map according to the longitude and latitude coordinates. The shoulder line drawn on the map may be used for automated vehicle operation."
15,information processing system,electronic pen,rhyper,-1,"In this way, in the information processing system including the electronic pen 1 and the tablet device 2 according to the first embodiment, the electronic tag transmitter 6 that transmits specific identification information as tag information is prepared, and the electronic pen 1 is provided with the function of receiving the tag information from the electronic tag transmitter 6. When the electronic pen 1 receives the tag information from the electronic tag transmitter 6, the electronic pen 1 transmits the received tag information as additional information of the position detection signal to the tablet device 2 included in the position detection apparatus. The tablet device 2 detects the information of the position instructed by the electronic pen 1 based on the position detection signal and associates and stores (including temporary storage) the detected information of the position instructed by the electronic pen 1 and the tag information."
16,the signal,start signal,hyper,1,"In this case, the first predetermined cycle (Td) after the position detection signal transmission period is always in the high level, and the signal is a start signal of (C) of FIG. 28. The start signal is a timing signal that allows the coordinate data formation unit 201D of the tablet device 2D to accurately determine the subsequent transmission timing of additional information. Note that instead of the start signal, the burst signal of the position detection signal transmission period can be used as the timing signal."
17,storage medium,computer readable,rhyper,-1,"These comprehensive or specific embodiments can be materialized with a system, method, integrated circuit, computer program, or a storage medium such as a computer readable CD-ROM or any combination of a system, method, integrated circuit, computer program and storage medium."
18,storage medium,computer readable,rhyper,-1,"These comprehensive or specific embodiments of the invention can be materialized with a system, method, integrated circuit, computer program, or a storage medium such as a computer readable CD-ROM or any combination of a system, method, integrated circuit, computer program, and storage medium."
19,storage medium,hard disk,rhyper,-1,"In each of the above embodiments, each constituent element can be materialized by being set up with a dedicated hardware or by executing software program suited to each constituent element. Each constituent element can be materialized by a program execution unit such as a CPU or a processor reading out and executing a software program recorded on a storage medium such as a hard disk or semiconductor memory. In this regard, software materialized with the pain estimation apparatus of each of the above embodiments is a program such as those described below."
20,storage medium,semiconductor memory,rhyper,-1,"In each of the above embodiments, each constituent element can be materialized by being set up with a dedicated hardware or by executing software program suited to each constituent element. Each constituent element can be materialized by a program execution unit such as a CPU or a processor reading out and executing a software program recorded on a storage medium such as a hard disk or semiconductor memory. In this regard, software materialized with the pain estimation apparatus of each of the above embodiments is a program such as those described below."
21,storage medium,hard disk,rhyper,-1,"In each of the above embodiments, each constituent element can be materialized by being configured with a dedicated hardware or by executing software program suited to each constituent element. Each constituent element can be materialized by a program execution unit such as a CPU or a processor reading out and executing a software program recorded on a storage medium such as a hard disk or semiconductor memory. In this regard, software materialized with the pain estimation apparatus of each of the above embodiments is a program such as those described below."
22,storage medium,semiconductor memory,rhyper,-1,"In each of the above embodiments, each constituent element can be materialized by being configured with a dedicated hardware or by executing software program suited to each constituent element. Each constituent element can be materialized by a program execution unit such as a CPU or a processor reading out and executing a software program recorded on a storage medium such as a hard disk or semiconductor memory. In this regard, software materialized with the pain estimation apparatus of each of the above embodiments is a program such as those described below."
23,electronic device,mobile phone,rhyper,-1,"Fig 2A schematically shows an example embodiment of the fingerprint sensing system according to the present invention, in the form of a semiconductor-based fingerprint sensor 3. As can be seen in fig 2A, the fingerprint sensor 3 comprises a sensor array 7, and an interface 9 for receiving power for operation of the fingerprint sensor 3 and for interacting with processing circuitry comprised in the electronic device, such as the mobile phone 1 in fig 1A or the smart card 5 in fig 1B. The sensor array 7 comprises a large number of sensing structures 10 (only one of the sensing structures has been indicated with a reference numeral to avoid cluttering the drawing). As is schematically indicated in the enlarged illustrations of the fingerprint sensor 3 in fig 2A, the fingerprint sensor 3 further comprises edge-compensating structures, including left proximal edge-compensating structures 11, right proximal edge-compensating structures 13, left distal edge-compensating structures 15, right distal edge-compensating structures 17, top proximal edge-compensating structures 19, bottom proximal edge-compensating structures 21, top distal edge-compensating structures 23, and bottom distal edge-compensating structures 25."
24,neural network,convolutional neural network,rhyper,-1,"First, an example of a situation in which the present invention is applied will be described using FIG. 1. FIG. 1 is a functional block diagram schematically illustrating an example of a situation to which a data generation apparatus 100 according to the present embodiment is applied. The data generation apparatus 100 according to the present embodiment includes identification devices (a, b, c, A, B, ...) using a neural network such as a convolutional neural network (hereinafter referred to as ""CNN""), for example. The identification devices (a, b, c, A, B, ...) are identification devices that are generated by machine learning using learning data that includes at least images of objects to be inspected and information (labels) indicating whether or not a part to be detected is included in the images, and can output information indicating whether or not a part to be detected is included in the input image. The data generation apparatus 100 is an apparatus that determines, using the identification devices (a, b, c, A, B, ...), whether or not an object to be inspected includes the part to be detected based on the image of the object to be inspected, accepts an input regarding whether or not the determination result is correct with a user interface 170, evaluates whether or not the determination result is correct based on the input with an evaluation unit 127, and if the determination result is evaluated to be not correct, generates new learning data by associating the image of the object to be inspected or a composite image generated based on the image of the object to be inspected with information in which the determination result is corrected. Here, the information in which the determination result is corrected may be information regarding a correct determination result, and may be information indicating that the image of the object to be inspected does not include the part to be detected, or information indicating that the image of the object to be inspected includes the part to be detected, for example. Also, the information indicating that a part to be detected is not included may be information indicating that a specific region of the image does not include the part to be detected, and the information indicating that a part to be detected is included may be information indicating that a specific region of the image includes the part to be detected. In the present embodiment, a case will be described where the part to be detected is a defective part included in an object to be inspected. However, the part to be detected is not limited to a defective part included in an object to be inspected, and may also be any part included in the object to be inspected."
25,communication network,the Internet,rhyper,-1,"As shown in FIG. 1, the data generation apparatus 100 includes an image capturing apparatus 153 that acquires an image of an object to be inspected, a determination unit 152 that determines whether or not the object to be inspected includes a defect based on the image using the identification devices (a, b, c, A, B, ...) that have been trained using learning data, a user interface 170 that accepts an input indicating whether or not the result determined by the determination unit 152 is correct, and a generation unit 121 that generates new learning data by associating information in which the determination result is corrected with at least one of the image and a composite image generated based on the image when the user interface 170 has accepted an input indicating that the determination result is not correct. Here, the measurement unit 150 is an example of an ""acquisition unit"" of this invention. In this specification, an image of the object to be inspected that is newly captured by the image capturing apparatus 153 is referred to as a ""measurement image"", and images of the objects to be inspected that are collected in advance for training identification devices (a, b, c, A, B ...) are referred to as ""sample images"". Note that the data generation apparatus 100 need not include the image capturing apparatus 153, and may also acquire a measurement image from an image capturing apparatus that is provided separately. Also, the data generation apparatus 100 need not include the determination unit 152, and may also acquire a determination result from a determination unit that is provided separately. Furthermore, the data generation apparatus 100 need not include the measurement unit 150. When a measurement image or a determination result is to be acquired from an image capturing apparatus or a determination unit that is provided separately, the data generation apparatus 100 may also acquire the measurement image or the determination result via a communication network such as the Internet."
26,communication network,the Internet,rhyper,-1,"Note that the data generation apparatus 100 need not include the measurement unit 150. For example, capturing of a measurement image and determination made by the determination unit 152 need not be performed by the data generation apparatus 100, and may be performed by a measurement apparatus that is provided separately from the data generation apparatus 100. In this case, the measurement apparatus provided separately from the data generation apparatus 100 may be used by an operator that operates the data generation apparatus 100. Also, the measurement apparatus that is provided separately from the data generation apparatus 100 may be used by an operator that is different from the operator that operates the data generation apparatus 100, and the data generation apparatus 100 may acquire the measurement image captured by the measurement apparatus and the result determined by the determination unit 152 via a communication network such as the Internet."
27,semiconductor memory,flash memory,rhyper,-1,"A storage medium is a medium that stores information such as programs and the like via an electrical, magnetic, optical, mechanical or chemical effect such that the stored information such as programs can be read by an apparatus such as a computer. The storage medium may be a CD (Compact Disk) or a DVD (Digital Versatile Disk), for example, and may store the data generation program 102a. The data generation program 102a stored in the storage medium is copied to the auxiliary storage unit 103, and may also be copied to the auxiliary storage unit 102 and the main storage unit 105. In FIG. 4, a disk-type storage medium such as a CD or a DVD is illustrated as an example of the storage medium. However, the type of the storage medium is not limited to the disk type, and may be a type other than the disk type. A semiconductor memory such as a flash memory can be given as an example of a storage medium other than a disk-type storage medium. Also, the data generation apparatus 100 may acquire data such as the data generation program 102a using wired or wireless communication via a network."
28,optical media,optical discs,rhyper,-1,"The method according to the above-described example embodiments may be recorded in non-transitory computer-readable media including program instructions to implement various operations that may be performed by a computer. The media may also include, alone or in combination with the program instructions, data files, data structures, and the like. The program instructions recorded on the media may be those designed and constructed for the purposes of the example embodiments, or they may be of the well-known kind and available to those having skill in the computer software arts. Examples of non-transitory computer-readable media include magnetic media such as hard disks, floppy disks, and magnetic tape; optical media such as CD ROM discs and DVDs; magneto-optical media such as optical discs; and hardware devices that are configured to store and perform program instructions, such as read-only memory (ROM), random access memory (RAM), flash memory, and the like. Examples of program instructions include both machine code, such as code produced by a compiler, and files containing higher level code that may be executed by the computer using an interpreter. The described hardware devices may be configured to act as one or more software modules to perform the operations of the above-described example embodiments, or vice versa."
29,magnetic media,hard disks,rhyper,-1,"The method according to the above-described example embodiments may be recorded in non-transitory computer-readable media including program instructions to implement various operations that may be performed by a computer. The media may also include, alone or in combination with the program instructions, data files, data structures, and the like. The program instructions recorded on the media may be those designed and constructed for the purposes of the example embodiments, or they may be of the well-known kind and available to those having skill in the computer software arts. Examples of non-transitory computer-readable media include magnetic media such as hard disks, floppy disks, and magnetic tape; optical media such as CD ROM discs and DVDs; magneto-optical media such as optical discs; and hardware devices that are configured to store and perform program instructions, such as read-only memory (ROM), random access memory (RAM), flash memory, and the like. Examples of program instructions include both machine code, such as code produced by a compiler, and files containing higher level code that may be executed by the computer using an interpreter. The described hardware devices may be configured to act as one or more software modules to perform the operations of the above-described example embodiments, or vice versa."
30,communication network,cellular network,rhyper,-1,"The communication module 190 may support establishing a direct (e.g., wired) communication channel or a wireless communication channel between the electronic device 101 and the external electronic device (e.g., the first external electronic device 102, the second external electronic device 104, or the server 108) and performing communication via the established communication channel. The communication module 190 may include one or more communication processors that are operable independently from the processor 120 (e.g., the AP) and supports a direct (e.g., wired) communication or a wireless communication. According to an embodiment of the disclosure, the communication module 190 may include a wireless communication module 192 (e.g., a cellular communication module, a short-range wireless communication module, or a global navigation satellite system (GNSS) communication module) or a wired communication module 194 (e.g., a local area network (LAN) communication module or a power line communication (PLC) module). A corresponding one of these communication modules may communicate with the external electronic device via the first network 198 (e.g., a short-range communication network, such as BluetoothTM, wireless-fidelity (Wi-Fi) direct, or infrared data association (IrDA)) or the second network 199 (e.g., a long-range communication network, such as a cellular network, the Internet, or a computer network (e.g., LAN or wide area network (WAN)). These various types of communication modules may be implemented as a single component (e.g., a single chip), or may be implemented as multi components (e.g., multi chips) separate from each other. The wireless communication module 192 may identify and authenticate the electronic device 101 in a communication network, such as the first network 198 or the second network 199, using subscriber information (e.g., international mobile subscriber identity (IMSI)) stored in the subscriber identification module 196."
31,communication network,the Internet,rhyper,-1,"The communication module 190 may support establishing a direct (e.g., wired) communication channel or a wireless communication channel between the electronic device 101 and the external electronic device (e.g., the first external electronic device 102, the second external electronic device 104, or the server 108) and performing communication via the established communication channel. The communication module 190 may include one or more communication processors that are operable independently from the processor 120 (e.g., the AP) and supports a direct (e.g., wired) communication or a wireless communication. According to an embodiment of the disclosure, the communication module 190 may include a wireless communication module 192 (e.g., a cellular communication module, a short-range wireless communication module, or a global navigation satellite system (GNSS) communication module) or a wired communication module 194 (e.g., a local area network (LAN) communication module or a power line communication (PLC) module). A corresponding one of these communication modules may communicate with the external electronic device via the first network 198 (e.g., a short-range communication network, such as BluetoothTM, wireless-fidelity (Wi-Fi) direct, or infrared data association (IrDA)) or the second network 199 (e.g., a long-range communication network, such as a cellular network, the Internet, or a computer network (e.g., LAN or wide area network (WAN)). These various types of communication modules may be implemented as a single component (e.g., a single chip), or may be implemented as multi components (e.g., multi chips) separate from each other. The wireless communication module 192 may identify and authenticate the electronic device 101 in a communication network, such as the first network 198 or the second network 199, using subscriber information (e.g., international mobile subscriber identity (IMSI)) stored in the subscriber identification module 196."
32,communication network,computer network,rhyper,-1,"The communication module 190 may support establishing a direct (e.g., wired) communication channel or a wireless communication channel between the electronic device 101 and the external electronic device (e.g., the first external electronic device 102, the second external electronic device 104, or the server 108) and performing communication via the established communication channel. The communication module 190 may include one or more communication processors that are operable independently from the processor 120 (e.g., the AP) and supports a direct (e.g., wired) communication or a wireless communication. According to an embodiment of the disclosure, the communication module 190 may include a wireless communication module 192 (e.g., a cellular communication module, a short-range wireless communication module, or a global navigation satellite system (GNSS) communication module) or a wired communication module 194 (e.g., a local area network (LAN) communication module or a power line communication (PLC) module). A corresponding one of these communication modules may communicate with the external electronic device via the first network 198 (e.g., a short-range communication network, such as BluetoothTM, wireless-fidelity (Wi-Fi) direct, or infrared data association (IrDA)) or the second network 199 (e.g., a long-range communication network, such as a cellular network, the Internet, or a computer network (e.g., LAN or wide area network (WAN)). These various types of communication modules may be implemented as a single component (e.g., a single chip), or may be implemented as multi components (e.g., multi chips) separate from each other. The wireless communication module 192 may identify and authenticate the electronic device 101 in a communication network, such as the first network 198 or the second network 199, using subscriber information (e.g., international mobile subscriber identity (IMSI)) stored in the subscriber identification module 196."
33,machine learning algorithm,deep learning,rhyper,-1,"The machine learning may include an algorithm technology of classifying/learning features of input data by itself, and the element technology may include a technology of simulating functions such as recognition, decision, and the like, of a human brain using a machine learning algorithm such as deep learning, or the like, and may include technical fields such as linguistic understanding, visual understanding, inference/prediction, knowledge representation, a motion control, and the like."
34,principal component analysis,statistical method,hyper,1,"Meanwhile, the principal component analysis is a statistical method of extracting principal components concisely expressing variance type patterns of many variables as a linear combination of original variables. That is, in the case in which p variables exist, information obtained from the p variables may be reduced to k variables significantly smaller than p. In the above example, c feature dimensions may be considered as being reduced to c' feature dimensions. However, the number of reduced feature dimensions is not limited, but may also be changed."
35,mobile terminal,personal digital assistant,rhyper,-1,"FIG. 1 is a schematic diagram of an example apparatus configured for performing any of the operations described herein. Apparatus 20 is an example embodiment that may be embodied by or associated with any of a variety of computing devices that include or are otherwise associated with a device configured for providing a navigation system user interface. For example, the computing device may be a mobile terminal, such as a personal digital assistant (PDA), mobile telephone, smart phone, personal navigation device, smart watch, tablet computer, camera or any combination of the aforementioned and other types of voice and text communications systems. However, in a preferred embodiment the apparatus 20 is embodied or partially embodied by a electronic control unit of a vehicle that supports safety-critical systems such as the powertrain (engine, transmission, electric drive motors, etc.), steering (e.g., steering assist or steer-by-wire), and braking (e.g., brake assist or brake-by-wire). Optionally, the computing device may be a fixed computing device, such as a built-in vehicular navigation device, assisted driving device, or the like."
36,propulsion systems,gas turbine engine,rhyper,-1,"With reference to FIG. 1, an aircraft 1 in accordance with various embodiments may comprise wings 10, fuselage 20, empennage 22 and aircraft systems, for example, landing gear such as landing gear 32 and propulsion systems such as gas turbine engine 12. An XYZ axes is used throughout the drawings to illustrate the axial (y), forward (x) and vertical (z) directions relative to aircraft 1. Landing gear 32, may generally support aircraft 1 when aircraft is not in flight, allowing aircraft 1 to taxi, take off, and land without damage. Gas turbine engine 12 is housed in nacelle 16 and has an inlet 26 defined by lip 18 generally provides forward thrust to aircraft 1. Wings 10 and fuselage 20 may generally support aircraft 1 and provide lift while control surfaces 34 and empennage 22 provide directional control when in flight. In various embodiments, in response to aircraft 1 operating in an icing environment, ice may build up on surfaces of aircraft 1 such as, for example, leading edge 14 of wings 10, within inlet 26, or around lip 18 of nacelle 16. In various embodiments, ice may be present on any part of aircraft 1 and may be dislodged and, in response, ingested through inlet 26 tending to damage gas turbine engine 12. In various embodiments, ice buildup on surfaces of aircraft 1 may tend to inhibit the function of control surfaces 34, empennage 22, landing gear 32, and generally tend to reduce the overall performance of aircraft 1."
37,landing gear,propulsion systems,rhyper,-1,"With reference to FIG. 1, an aircraft 1 in accordance with various embodiments may comprise wings 10, fuselage 20, empennage 22 and aircraft systems, for example, landing gear such as landing gear 32 and propulsion systems such as gas turbine engine 12. An XYZ axes is used throughout the drawings to illustrate the axial (y), forward (x) and vertical (z) directions relative to aircraft 1. Landing gear 32, may generally support aircraft 1 when aircraft is not in flight, allowing aircraft 1 to taxi, take off, and land without damage. Gas turbine engine 12 is housed in nacelle 16 and has an inlet 26 defined by lip 18 generally provides forward thrust to aircraft 1. Wings 10 and fuselage 20 may generally support aircraft 1 and provide lift while control surfaces 34 and empennage 22 provide directional control when in flight. In various embodiments, in response to aircraft 1 operating in an icing environment, ice may build up on surfaces of aircraft 1 such as, for example, leading edge 14 of wings 10, within inlet 26, or around lip 18 of nacelle 16. In various embodiments, ice may be present on any part of aircraft 1 and may be dislodged and, in response, ingested through inlet 26 tending to damage gas turbine engine 12. In various embodiments, ice buildup on surfaces of aircraft 1 may tend to inhibit the function of control surfaces 34, empennage 22, landing gear 32, and generally tend to reduce the overall performance of aircraft 1."
38,landing gear,landing gear,rhyper,-1,"With reference to FIG. 1, an aircraft 1 in accordance with various embodiments may comprise wings 10, fuselage 20, empennage 22 and aircraft systems, for example, landing gear such as landing gear 32 and propulsion systems such as gas turbine engine 12. An XYZ axes is used throughout the drawings to illustrate the axial (y), forward (x) and vertical (z) directions relative to aircraft 1. Landing gear 32, may generally support aircraft 1 when aircraft is not in flight, allowing aircraft 1 to taxi, take off, and land without damage. Gas turbine engine 12 is housed in nacelle 16 and has an inlet 26 defined by lip 18 generally provides forward thrust to aircraft 1. Wings 10 and fuselage 20 may generally support aircraft 1 and provide lift while control surfaces 34 and empennage 22 provide directional control when in flight. In various embodiments, in response to aircraft 1 operating in an icing environment, ice may build up on surfaces of aircraft 1 such as, for example, leading edge 14 of wings 10, within inlet 26, or around lip 18 of nacelle 16. In various embodiments, ice may be present on any part of aircraft 1 and may be dislodged and, in response, ingested through inlet 26 tending to damage gas turbine engine 12. In various embodiments, ice buildup on surfaces of aircraft 1 may tend to inhibit the function of control surfaces 34, empennage 22, landing gear 32, and generally tend to reduce the overall performance of aircraft 1."
39,communication network,the Internet,rhyper,-1,"The core part that performs the procedures that are executed by the controller 110 or 210 that comprises a CPU, a RAM, a ROM, and the like can be executed using, instead of a dedicated system, a conventional portable information terminal (a smartphone or a tablet personal computer (PC)), a personal computer, or the like. For example, a portable information terminal that executes the foregoing procedures may be configured by saving and distributing the computer program for executing the foregoing operations on a non-transitory computer-readable recording medium (a flexible disk, a compact disc read only memory (CD-ROM), a digital versatile disc read only memory (DVD-ROM), or the like) and installing the computer program on a portable information terminal. Moreover, an information processing device may be configured by saving the computer program on a storage device of a server device on a communication network such as the Internet and allowing a conventional portable information terminal to download the computer program. A controller that executes a robot operation may be separated from a controller that functions as the image acquirer 111, the image analyzer 112, and the determiner 113."
