,Hypernym,Hyponym,Frequency,word1,word2,relation,label
73,image sensor,complementary metal oxide semiconductor,1,complementary metal oxide semiconductor,image sensor,hyper,1
74,text processing,optical character recognition,1,text processing,optical character recognition,rhyper,-1
75,machine learning,neural networks,1,machine learning,neural networks,rhyper,-1
76,wireless network,Wireless Fidelity,1,Wireless Fidelity,wireless network,hyper,1
77,light sensor,Complementary Metal Oxide Semiconductor,1,light sensor,Complementary Metal Oxide Semiconductor,rhyper,-1
78,storage medium,magnetic material,1,magnetic material,storage medium,hyper,1
79,storage device,Hard Disk Drive,1,Hard Disk Drive,storage device,hyper,1
80,computing device,computing device,1,computing device,computing device,rhyper,-1
81,embedded devices,tablet computers,1,tablet computers,embedded devices,hyper,1
82,Convolutional Neural Network,neural network,1,Convolutional Neural Network,neural network,rhyper,-1
83,neural network,machine learning algorithm,1,machine learning algorithm,neural network,hyper,1
84,high-level shader language,High Level Shader Language,1,High Level Shader Language,high-level shader language,hyper,1
85,a vehicle,tablet computer,1,a vehicle,tablet computer,rhyper,-1
86,display device,display device,1,display device,display device,hyper,1
87,display device,virtual reality,1,virtual reality,display device,hyper,1
88,peripheral bus,Peripheral Component Interconnect,1,peripheral bus,Peripheral Component Interconnect,rhyper,-1
89,facial expression,facial expression,1,facial expression,facial expression,hyper,1
90,loss function,objective function,1,objective function,loss function,hyper,1
91,living room,occupancy grid,1,living room,occupancy grid,rhyper,-1
92,a vehicle,mobile phone,1,a vehicle,mobile phone,rhyper,-1
93,mobile device,smart phone,1,mobile device,smart phone,rhyper,-1
94,a vehicle,digital camera,1,digital camera,a vehicle,hyper,1
95,geographical coordinates,GPS coordinates,1,GPS coordinates,geographical coordinates,hyper,1
96,integrated circuit,central processing unit,1,central processing unit,integrated circuit,hyper,1
97,field of view,field of view,1,field of view,field of view,rhyper,-1
98,programming languages,object oriented programming language,1,programming languages,object oriented programming language,rhyper,-1
99,communications network,local area network,1,communications network,local area network,rhyper,-1
100,communications network,the Internet,1,communications network,the Internet,rhyper,-1
101,communications network,cellular telephone,1,communications network,cellular telephone,rhyper,-1
102,handheld devices,mobile telephones,1,handheld devices,mobile telephones,rhyper,-1
103,landing gear,landing gear,1,landing gear,landing gear,rhyper,-1
104,landing gear,propulsion systems,1,landing gear,propulsion systems,rhyper,-1
105,propulsion systems,gas turbine engine,1,propulsion systems,gas turbine engine,rhyper,-1
106,mobile terminal,personal digital assistant,1,mobile terminal,personal digital assistant,rhyper,-1
107,statistical method,principal component analysis,1,statistical method,principal component analysis,rhyper,-1
108,machine learning algorithm,deep learning,1,machine learning algorithm,deep learning,rhyper,-1
109,communication network,computer network,1,computer network,communication network,hyper,1
110,communication network,cellular network,1,communication network,cellular network,rhyper,-1
111,optical media,optical discs,1,optical discs,optical media,hyper,1
112,electronic device,mobile phone,1,mobile phone,electronic device,hyper,1
113,start signal,the signal,1,the signal,start signal,hyper,1
114,information processing system,electronic pen,1,information processing system,electronic pen,rhyper,-1
115,the image,two-dimensional code,1,the image,two-dimensional code,rhyper,-1
116,two-dimensional code,a square,1,two-dimensional code,a square,rhyper,-1
117,virtual environment,virtual environment,1,virtual environment,virtual environment,rhyper,-1
118,digital camera,the system,1,digital camera,the system,rhyper,-1
119,reflective glass,one-way mirror,1,reflective glass,one-way mirror,rhyper,-1
120,telecommunication network,the internet,1,telecommunication network,the internet,rhyper,-1
121,visible light,infrared light,1,visible light,infrared light,rhyper,-1
122,visible light,ultraviolet light,1,ultraviolet light,visible light,hyper,1
123,payment service,the service,1,payment service,the service,rhyper,-1
124,real-time information,traffic jam,1,traffic jam,real-time information,hyper,1
125,lane line,speed limit,1,lane line,speed limit,rhyper,-1
126,recording medium,hard disk,1,recording medium,hard disk,rhyper,-1
127,first position,point cloud data,1,first position,point cloud data,rhyper,-1
128,programming languages,object oriented programming languages,1,object oriented programming languages,programming languages,hyper,1
129,point cloud data,Iterative Closest Point,1,point cloud data,Iterative Closest Point,rhyper,-1
130,display device,liquid crystal display,1,liquid crystal display,display device,hyper,1
131,storage media,main memory,1,main memory,storage media,hyper,1
132,output device,liquid crystal,1,output device,liquid crystal,rhyper,-1
133,non-volatile memory,hard disk,1,non-volatile memory,hard disk,rhyper,-1
134,storage media,solid-state drive,1,solid-state drive,storage media,hyper,1
135,communication network,wide area network,1,wide area network,communication network,hyper,1
136,communication network,local area network,1,local area network,communication network,hyper,1
137,the triangle,number of,1,the triangle,number of,rhyper,-1
138,semiconductor memory,random access,1,semiconductor memory,random access,rhyper,-1
139,mobile device,laptop computer,1,laptop computer,mobile device,hyper,1
140,mobile device,tablet PC,1,mobile device,tablet PC,rhyper,-1
141,mobile phone,information processing system,1,mobile phone,information processing system,rhyper,-1
142,programmable memory,household appliances,1,programmable memory,household appliances,rhyper,-1
143,volatile memory,high density,1,volatile memory,high density,rhyper,-1
144,storage medium,Volatile memory,1,storage medium,Volatile memory,rhyper,-1
145,artificial light,fluorescent light,1,fluorescent light,artificial light,hyper,1
146,flash memory,USB memory,1,USB memory,flash memory,hyper,1
147,personal computer,desktop computer,1,desktop computer,personal computer,hyper,1
148,personal computer,laptop computer,1,personal computer,laptop computer,rhyper,-1
149,computer readable,magnetic disk,1,computer readable,magnetic disk,rhyper,-1
150,computer readable,optical disk,1,computer readable,optical disk,rhyper,-1
151,optical system,plane mirror,1,plane mirror,optical system,hyper,1
152,light source,laser diode,1,laser diode,light source,hyper,1
153,recording medium,semiconductor memory,1,recording medium,semiconductor memory,rhyper,-1
154,text field,text field,1,text field,text field,hyper,1
